pdg_rank,gene_name,best_score,mean_score,n_ppi,best_rank,ppi_list
105,LRP6,0.9996362924575806,0.9994166195392609,2,45,"MULTINET,STRING"
106,HDAC6,0.9996180534362793,0.9994571805000305,2,68,"CPDB,MULTINET"
107,USP15,0.9996101260185242,0.9991283416748047,2,29,"IREF_2015,MULTINET"
108,NCAM1,0.9995878338813782,0.999011754989624,2,40,"IREF,PCNET"
109,ACTB,0.9995844960212708,0.9994652271270752,2,42,"MULTINET,PCNET"
110,GRIN2B,0.9995822310447693,0.9995587766170502,2,54,"PCNET,STRING"
111,INSR,0.9995637536048889,0.9992619454860687,2,47,"IREF_2015,PCNET"
112,TIAM1,0.9995507597923279,0.9991195201873779,2,15,"IREF,IREF_2015"
113,PRKCE,0.9995425939559937,0.9991626441478729,2,50,"IREF_2015,PCNET"
114,BPTF,0.9995394945144653,0.9994979798793793,2,46,"MULTINET,STRING"
115,CEP170,0.9995391368865967,0.9983381032943726,2,77,"CPDB,IREF"
116,UBR4,0.9995356798171997,0.9993561208248138,2,10,"CPDB,IREF"
117,PLCB1,0.9995341300964355,0.9995131492614746,2,42,"MULTINET,PCNET"
118,ANK2,0.9995267391204834,0.9994663596153259,2,81,"CPDB,PCNET"
119,GRM7,0.9995168447494507,0.9985106885433197,2,62,"IREF,PCNET"
120,NTRK2,0.9995039701461792,0.9990932047367096,2,66,"IREF_2015,PCNET"
121,IGF2R,0.9995030164718628,0.9994606971740723,2,68,"PCNET,STRING"
122,HLA-B,0.999496579170227,0.999459445476532,2,69,"PCNET,STRING"
123,DLG4,0.9994837045669556,0.9981740415096283,2,72,"IREF,STRING"
124,SMC2,0.9994679093360901,0.9993850290775299,2,88,"CPDB,STRING"
125,SLC9A1,0.999466598033905,0.9990361332893372,2,39,"CPDB,IREF"
126,MAP3K4,0.999461829662323,0.9994054436683655,2,27,"IREF_2015,MULTINET"
127,PPP3CA,0.9994578957557678,0.999089241027832,2,78,"IREF_2015,STRING"
128,AGTR1,0.9994484782218933,0.9990575611591339,2,82,"IREF_2015,PCNET"
129,CHD8,0.999446451663971,0.9990765154361725,2,47,"IREF_2015,MULTINET"
130,HERC2,0.9994314312934875,0.9988192021846771,2,50,"IREF,PCNET"
131,EPHB3,0.9994311928749084,0.9992949664592743,2,88,"MULTINET,PCNET"
132,NEDD4,0.9994288086891174,0.9992803335189819,2,90,"MULTINET,PCNET"
133,ITGB3,0.9994233846664429,0.9987795948982239,2,53,"IREF,STRING"
134,ZC3H13,0.999421238899231,0.9981867671012878,2,53,"IREF,MULTINET"
135,SPTA1,0.9994031190872192,0.9990014731884003,2,40,"CPDB,IREF"
